mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour
819411,1279649,2353163,2398763,1659936,1775590,0,1272262,0.25,1304380
819411,1279649,2353163,2398763,1659936,1775590,0,1272262,0.5,1362176
819411,1279649,2353163,2398763,1659936,1775590,0,1272262,0.75,1485089
819411,1279649,2353163,2398763,1659936,1775590,0,1272262,1.0,1778978
819411,1279649,2353163,2398763,1659936,1775590,0,1272262,1.25,1888976
819411,1279649,2353163,2398763,1659936,1775590,34244,1284100,0.25,1307244
819411,1279649,2353163,2398763,1659936,1775590,34244,1284100,0.5,1380501
819411,1279649,2353163,2398763,1659936,1775590,34244,1284100,0.75,1604190
819411,1279649,2353163,2398763,1659936,1775590,34244,1284100,1.0,1731949
819411,1279649,2353163,2398763,1659936,1775590,34244,1284100,1.25,1864727
819411,1279649,2353163,2398763,1659936,1775590,75497,1306482,0.25,1327311
819411,1279649,2353163,2398763,1659936,1775590,75497,1306482,0.5,1398166
819411,1279649,2353163,2398763,1659936,1775590,75497,1306482,0.75,1566153
819411,1279649,2353163,2398763,1659936,1775590,75497,1306482,1.0,1781181
819411,1279649,2353163,2398763,1659936,1775590,75497,1306482,1.25,1879041
819411,1279649,2353163,2398763,1659936,1775590,109758,1312901,0.25,1328065
819411,1279649,2353163,2398763,1659936,1775590,109758,1312901,0.5,1398003
819411,1279649,2353163,2398763,1659936,1775590,109758,1312901,0.75,1535907
819411,1279649,2353163,2398763,1659936,1775590,109758,1312901,1.0,1765088
819411,1279649,2353163,2398763,1659936,1775590,109758,1312901,1.25,1905893
819411,1279649,2353163,2398763,1659936,1775590,150054,1325515,0.25,1332251
819411,1279649,2353163,2398763,1659936,1775590,150054,1325515,0.5,1395578
819411,1279649,2353163,2398763,1659936,1775590,150054,1325515,0.75,1557448
819411,1279649,2353163,2398763,1659936,1775590,150054,1325515,1.0,1749853
819411,1279649,2353163,2398763,1659936,1775590,150054,1325515,1.25,1902037
819411,1279649,2353163,2398763,1659936,1775590,222779,1346646,0.25,1346775
819411,1279649,2353163,2398763,1659936,1775590,222779,1346646,0.5,1428391
819411,1279649,2353163,2398763,1659936,1775590,222779,1346646,0.75,1561552
819411,1279649,2353163,2398763,1659936,1775590,222779,1346646,1.0,1754878
819411,1279649,2353163,2398763,1659936,1775590,222779,1346646,1.25,1858229
819411,1279649,2353163,2398763,1659936,1775590,270759,1376878,0.25,1362823
819411,1279649,2353163,2398763,1659936,1775590,270759,1376878,0.5,1422859
819411,1279649,2353163,2398763,1659936,1775590,270759,1376878,0.75,1582236
819411,1279649,2353163,2398763,1659936,1775590,270759,1376878,1.0,1799240
819411,1279649,2353163,2398763,1659936,1775590,270759,1376878,1.25,1904157
819411,1279649,2353163,2398763,1659936,1775590,306739,1391677,0.25,1364158
819411,1279649,2353163,2398763,1659936,1775590,306739,1391677,0.5,1434494
819411,1279649,2353163,2398763,1659936,1775590,306739,1391677,0.75,1578173
819411,1279649,2353163,2398763,1659936,1775590,306739,1391677,1.0,1790283
819411,1279649,2353163,2398763,1659936,1775590,306739,1391677,1.25,1862495
819411,1279649,2353163,2398763,1659936,1775590,347774,1388881,0.25,1377074
819411,1279649,2353163,2398763,1659936,1775590,347774,1388881,0.5,1430948
819411,1279649,2353163,2398763,1659936,1775590,347774,1388881,0.75,1549854
819411,1279649,2353163,2398763,1659936,1775590,347774,1388881,1.0,1805269
819411,1279649,2353163,2398763,1659936,1775590,347774,1388881,1.25,1957685
819411,1279649,2353163,2398763,1659936,1775590,364463,1386856,0.25,1378701
819411,1279649,2353163,2398763,1659936,1775590,364463,1386856,0.5,1441646
819411,1279649,2353163,2398763,1659936,1775590,364463,1386856,0.75,1533354
819411,1279649,2353163,2398763,1659936,1775590,364463,1386856,1.0,1754307
819411,1279649,2353163,2398763,1659936,1775590,364463,1386856,1.25,1872505
819411,1279649,2353163,2398763,1659936,1775590,389966,1395357,0.25,1383779
819411,1279649,2353163,2398763,1659936,1775590,389966,1395357,0.5,1455814
819411,1279649,2353163,2398763,1659936,1775590,389966,1395357,0.75,1551591
819411,1279649,2353163,2398763,1659936,1775590,389966,1395357,1.0,1772814
819411,1279649,2353163,2398763,1659936,1775590,389966,1395357,1.25,1895970
819411,1279649,2353163,2398763,1659936,1775590,417853,1411953,0.25,1394158
819411,1279649,2353163,2398763,1659936,1775590,417853,1411953,0.5,1452524
819411,1279649,2353163,2398763,1659936,1775590,417853,1411953,0.75,1575691
819411,1279649,2353163,2398763,1659936,1775590,417853,1411953,1.0,1771147
819411,1279649,2353163,2398763,1659936,1775590,417853,1411953,1.25,1901704
819411,1279649,2353163,2398763,1659936,1775590,448513,1436234,0.25,1411235
819411,1279649,2353163,2398763,1659936,1775590,448513,1436234,0.5,1462182
819411,1279649,2353163,2398763,1659936,1775590,448513,1436234,0.75,1626468
819411,1279649,2353163,2398763,1659936,1775590,448513,1436234,1.0,1766954
819411,1279649,2353163,2398763,1659936,1775590,448513,1436234,1.25,1912120
819411,1279649,2353163,2398763,1659936,1775590,488731,1428321,0.25,1411345
819411,1279649,2353163,2398763,1659936,1775590,488731,1428321,0.5,1475225
819411,1279649,2353163,2398763,1659936,1775590,488731,1428321,0.75,1614108
819411,1279649,2353163,2398763,1659936,1775590,488731,1428321,1.0,1843914
819411,1279649,2353163,2398763,1659936,1775590,488731,1428321,1.25,1897493
819411,1279649,2353163,2398763,1659936,1775590,562096,1470431,0.25,1445647
819411,1279649,2353163,2398763,1659936,1775590,562096,1470431,0.5,1512047
819411,1279649,2353163,2398763,1659936,1775590,562096,1470431,0.75,1609904
819411,1279649,2353163,2398763,1659936,1775590,562096,1470431,1.0,1775634
819411,1279649,2353163,2398763,1659936,1775590,562096,1470431,1.25,1907450
819411,1279649,2353163,2398763,1659936,1775590,667670,1517079,0.25,1475986
819411,1279649,2353163,2398763,1659936,1775590,667670,1517079,0.5,1508747
819411,1279649,2353163,2398763,1659936,1775590,667670,1517079,0.75,1671578
819411,1279649,2353163,2398763,1659936,1775590,667670,1517079,1.0,1785927
819411,1279649,2353163,2398763,1659936,1775590,667670,1517079,1.25,1948865
819411,1279649,2353163,2398763,1659936,1775590,733840,1525642,0.25,1489862
