mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour
774935,1277269,2164574,2168275,1644522,1616190,0,1270759,0.25,1294854
774935,1277269,2164574,2168275,1644522,1616190,0,1270759,0.5,1350422
774935,1277269,2164574,2168275,1644522,1616190,0,1270759,0.75,1468503
774935,1277269,2164574,2168275,1644522,1616190,0,1270759,1.0,1591015
774935,1277269,2164574,2168275,1644522,1616190,0,1270759,1.25,1753290
774935,1277269,2164574,2168275,1644522,1616190,58297,1301046,0.25,1314069
774935,1277269,2164574,2168275,1644522,1616190,58297,1301046,0.5,1350508
774935,1277269,2164574,2168275,1644522,1616190,58297,1301046,0.75,1455899
774935,1277269,2164574,2168275,1644522,1616190,58297,1301046,1.0,1585233
774935,1277269,2164574,2168275,1644522,1616190,58297,1301046,1.25,1713442
774935,1277269,2164574,2168275,1644522,1616190,155279,1335067,0.25,1340528
774935,1277269,2164574,2168275,1644522,1616190,155279,1335067,0.5,1395281
774935,1277269,2164574,2168275,1644522,1616190,155279,1335067,0.75,1487072
774935,1277269,2164574,2168275,1644522,1616190,155279,1335067,1.0,1647994
774935,1277269,2164574,2168275,1644522,1616190,155279,1335067,1.25,1777645
774935,1277269,2164574,2168275,1644522,1616190,316021,1377469,0.25,1354114
774935,1277269,2164574,2168275,1644522,1616190,316021,1377469,0.5,1415896
774935,1277269,2164574,2168275,1644522,1616190,316021,1377469,0.75,1473729
774935,1277269,2164574,2168275,1644522,1616190,316021,1377469,1.0,1658876
774935,1277269,2164574,2168275,1644522,1616190,316021,1377469,1.25,1758639
774935,1277269,2164574,2168275,1644522,1616190,485121,1460184,0.25,1378030
774935,1277269,2164574,2168275,1644522,1616190,485121,1460184,0.5,1418053
774935,1277269,2164574,2168275,1644522,1616190,485121,1460184,0.75,1495678
774935,1277269,2164574,2168275,1644522,1616190,485121,1460184,1.0,1642274
774935,1277269,2164574,2168275,1644522,1616190,485121,1460184,1.25,1763441
774935,1277269,2164574,2168275,1644522,1616190,606070,1772771,0.25,1455411
774935,1277269,2164574,2168275,1644522,1616190,606070,1772771,0.5,1448796
774935,1277269,2164574,2168275,1644522,1616190,606070,1772771,0.75,1606908
774935,1277269,2164574,2168275,1644522,1616190,606070,1772771,1.0,1716051
774935,1277269,2164574,2168275,1644522,1616190,606070,1772771,1.25,1794670
774935,1277269,2164574,2168275,1644522,1616190,630425,1697154,0.25,1438881
774935,1277269,2164574,2168275,1644522,1616190,630425,1697154,0.5,1490803
774935,1277269,2164574,2168275,1644522,1616190,630425,1697154,0.75,1525700
774935,1277269,2164574,2168275,1644522,1616190,630425,1697154,1.0,1674566
774935,1277269,2164574,2168275,1644522,1616190,630425,1697154,1.25,1771122
774935,1277269,2164574,2168275,1644522,1616190,678375,1773128,0.25,1489551
774935,1277269,2164574,2168275,1644522,1616190,678375,1773128,0.5,1557322
774935,1277269,2164574,2168275,1644522,1616190,678375,1773128,0.75,1541724
774935,1277269,2164574,2168275,1644522,1616190,678375,1773128,1.0,1701983
774935,1277269,2164574,2168275,1644522,1616190,678375,1773128,1.25,1783163
774935,1277269,2164574,2168275,1644522,1616190,786066,1825449,0.25,1557482
774935,1277269,2164574,2168275,1644522,1616190,786066,1825449,0.5,1593547
774935,1277269,2164574,2168275,1644522,1616190,786066,1825449,0.75,1538867
774935,1277269,2164574,2168275,1644522,1616190,786066,1825449,1.0,1693917
774935,1277269,2164574,2168275,1644522,1616190,786066,1825449,1.25,1804813
774935,1277269,2164574,2168275,1644522,1616190,974671,1846968,0.25,1565495
774935,1277269,2164574,2168275,1644522,1616190,974671,1846968,0.5,1577498
774935,1277269,2164574,2168275,1644522,1616190,974671,1846968,0.75,1598556
774935,1277269,2164574,2168275,1644522,1616190,974671,1846968,1.0,1669889
774935,1277269,2164574,2168275,1644522,1616190,974671,1846968,1.25,1790446
774935,1277269,2164574,2168275,1644522,1616190,1151139,1950196,0.25,1633412
774935,1277269,2164574,2168275,1644522,1616190,1151139,1950196,0.5,1598282
774935,1277269,2164574,2168275,1644522,1616190,1151139,1950196,0.75,1616691
774935,1277269,2164574,2168275,1644522,1616190,1151139,1950196,1.0,1713280
774935,1277269,2164574,2168275,1644522,1616190,1151139,1950196,1.25,1821729
774935,1277269,2164574,2168275,1644522,1616190,1311990,1803517,0.25,1604503
774935,1277269,2164574,2168275,1644522,1616190,1311990,1803517,0.5,1587444
774935,1277269,2164574,2168275,1644522,1616190,1311990,1803517,0.75,1615494
