mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour
357690,558528,994016,1000014,742793,757680,0,555932,0.25,566912
357690,558528,994016,1000014,742793,757680,0,555932,0.5,600584
357690,558528,994016,1000014,742793,757680,0,555932,0.75,653297
357690,558528,994016,1000014,742793,757680,0,555932,1.0,708817
357690,558528,994016,1000014,742793,757680,0,555932,1.25,782175
357690,558528,994016,1000014,742793,757680,29025,566315,0.25,580243
357690,558528,994016,1000014,742793,757680,29025,566315,0.5,613251
357690,558528,994016,1000014,742793,757680,29025,566315,0.75,683668
357690,558528,994016,1000014,742793,757680,29025,566315,1.0,755744
357690,558528,994016,1000014,742793,757680,29025,566315,1.25,769819
357690,558528,994016,1000014,742793,757680,49524,576799,0.25,589254
357690,558528,994016,1000014,742793,757680,49524,576799,0.5,619622
357690,558528,994016,1000014,742793,757680,49524,576799,0.75,681345
357690,558528,994016,1000014,742793,757680,49524,576799,1.0,762597
357690,558528,994016,1000014,742793,757680,49524,576799,1.25,809939
357690,558528,994016,1000014,742793,757680,72281,592851,0.25,596848
357690,558528,994016,1000014,742793,757680,72281,592851,0.5,630048
357690,558528,994016,1000014,742793,757680,72281,592851,0.75,655363
357690,558528,994016,1000014,742793,757680,72281,592851,1.0,760645
357690,558528,994016,1000014,742793,757680,72281,592851,1.25,811726
357690,558528,994016,1000014,742793,757680,96503,592125,0.25,597070
357690,558528,994016,1000014,742793,757680,96503,592125,0.5,635457
357690,558528,994016,1000014,742793,757680,96503,592125,0.75,655398
357690,558528,994016,1000014,742793,757680,96503,592125,1.0,791117
357690,558528,994016,1000014,742793,757680,96503,592125,1.25,778865
357690,558528,994016,1000014,742793,757680,161547,640648,0.25,613434
357690,558528,994016,1000014,742793,757680,161547,640648,0.5,652036
357690,558528,994016,1000014,742793,757680,161547,640648,0.75,675396
357690,558528,994016,1000014,742793,757680,161547,640648,1.0,785482
357690,558528,994016,1000014,742793,757680,161547,640648,1.25,829167
357690,558528,994016,1000014,742793,757680,234595,688013,0.25,639665
357690,558528,994016,1000014,742793,757680,234595,688013,0.5,660745
357690,558528,994016,1000014,742793,757680,234595,688013,0.75,697846
357690,558528,994016,1000014,742793,757680,234595,688013,1.0,804859
357690,558528,994016,1000014,742793,757680,234595,688013,1.25,823896
357690,558528,994016,1000014,742793,757680,326495,699214,0.25,643105
357690,558528,994016,1000014,742793,757680,326495,699214,0.5,653013
357690,558528,994016,1000014,742793,757680,326495,699214,0.75,676389
357690,558528,994016,1000014,742793,757680,326495,699214,1.0,796079
357690,558528,994016,1000014,742793,757680,326495,699214,1.25,812187
357690,558528,994016,1000014,742793,757680,351270,702466,0.25,643514
357690,558528,994016,1000014,742793,757680,351270,702466,0.5,657680
357690,558528,994016,1000014,742793,757680,351270,702466,0.75,684816
357690,558528,994016,1000014,742793,757680,351270,702466,1.0,773463
357690,558528,994016,1000014,742793,757680,351270,702466,1.25,863252
357690,558528,994016,1000014,742793,757680,370707,708109,0.25,648059
357690,558528,994016,1000014,742793,757680,370707,708109,0.5,668410
357690,558528,994016,1000014,742793,757680,370707,708109,0.75,689796
357690,558528,994016,1000014,742793,757680,370707,708109,1.0,801289
357690,558528,994016,1000014,742793,757680,370707,708109,1.25,869457
357690,558528,994016,1000014,742793,757680,386646,713280,0.25,679790
357690,558528,994016,1000014,742793,757680,386646,713280,0.5,672668
357690,558528,994016,1000014,742793,757680,386646,713280,0.75,711025
357690,558528,994016,1000014,742793,757680,386646,713280,1.0,783897
357690,558528,994016,1000014,742793,757680,386646,713280,1.25,814662
357690,558528,994016,1000014,742793,757680,408261,734218,0.25,663306
357690,558528,994016,1000014,742793,757680,408261,734218,0.5,668108
357690,558528,994016,1000014,742793,757680,408261,734218,0.75,707433
357690,558528,994016,1000014,742793,757680,408261,734218,1.0,778124
357690,558528,994016,1000014,742793,757680,408261,734218,1.25,833961
357690,558528,994016,1000014,742793,757680,429310,739306,0.25,658365
357690,558528,994016,1000014,742793,757680,429310,739306,0.5,680861
357690,558528,994016,1000014,742793,757680,429310,739306,0.75,743665
357690,558528,994016,1000014,742793,757680,429310,739306,1.0,788675
357690,558528,994016,1000014,742793,757680,429310,739306,1.25,856777
357690,558528,994016,1000014,742793,757680,453051,736823,0.25,677483
357690,558528,994016,1000014,742793,757680,453051,736823,0.5,679407
357690,558528,994016,1000014,742793,757680,453051,736823,0.75,740057
357690,558528,994016,1000014,742793,757680,453051,736823,1.0,781593
357690,558528,994016,1000014,742793,757680,453051,736823,1.25,821714
357690,558528,994016,1000014,742793,757680,482038,750198,0.25,698772
357690,558528,994016,1000014,742793,757680,482038,750198,0.5,706153
357690,558528,994016,1000014,742793,757680,482038,750198,0.75,708939
357690,558528,994016,1000014,742793,757680,482038,750198,1.0,796320
357690,558528,994016,1000014,742793,757680,482038,750198,1.25,833100
357690,558528,994016,1000014,742793,757680,508510,770154,0.25,695565
357690,558528,994016,1000014,742793,757680,508510,770154,0.5,731954
357690,558528,994016,1000014,742793,757680,508510,770154,0.75,755220
357690,558528,994016,1000014,742793,757680,508510,770154,1.0,785375
357690,558528,994016,1000014,742793,757680,508510,770154,1.25,817993
357690,558528,994016,1000014,742793,757680,526616,768659,0.25,697538
357690,558528,994016,1000014,742793,757680,526616,768659,0.5,720723
357690,558528,994016,1000014,742793,757680,526616,768659,0.75,702245
357690,558528,994016,1000014,742793,757680,526616,768659,1.0,798661
357690,558528,994016,1000014,742793,757680,526616,768659,1.25,838040
357690,558528,994016,1000014,742793,757680,537077,776098,0.25,681241
357690,558528,994016,1000014,742793,757680,537077,776098,0.5,709710
357690,558528,994016,1000014,742793,757680,537077,776098,0.75,753584
357690,558528,994016,1000014,742793,757680,537077,776098,1.0,789269
357690,558528,994016,1000014,742793,757680,537077,776098,1.25,830071
357690,558528,994016,1000014,742793,757680,551150,768943,0.25,711628
357690,558528,994016,1000014,742793,757680,551150,768943,0.5,687658
357690,558528,994016,1000014,742793,757680,551150,768943,0.75,749595
357690,558528,994016,1000014,742793,757680,551150,768943,1.0,796591
357690,558528,994016,1000014,742793,757680,551150,768943,1.25,811821
357690,558528,994016,1000014,742793,757680,571112,775569,0.25,718256
357690,558528,994016,1000014,742793,757680,571112,775569,0.5,698490
357690,558528,994016,1000014,742793,757680,571112,775569,0.75,741079
357690,558528,994016,1000014,742793,757680,571112,775569,1.0,844610
357690,558528,994016,1000014,742793,757680,571112,775569,1.25,825877
357690,558528,994016,1000014,742793,757680,589045,791777,0.25,725576
357690,558528,994016,1000014,742793,757680,589045,791777,0.5,718892
357690,558528,994016,1000014,742793,757680,589045,791777,0.75,784046
357690,558528,994016,1000014,742793,757680,589045,791777,1.0,822425
357690,558528,994016,1000014,742793,757680,589045,791777,1.25,877718
357690,558528,994016,1000014,742793,757680,601852,796595,0.25,726711
357690,558528,994016,1000014,742793,757680,601852,796595,0.5,710764
357690,558528,994016,1000014,742793,757680,601852,796595,0.75,771396
357690,558528,994016,1000014,742793,757680,601852,796595,1.0,777875
357690,558528,994016,1000014,742793,757680,601852,796595,1.25,854853
357690,558528,994016,1000014,742793,757680,616673,827121,0.25,703869
357690,558528,994016,1000014,742793,757680,616673,827121,0.5,715186
357690,558528,994016,1000014,742793,757680,616673,827121,0.75,752767
357690,558528,994016,1000014,742793,757680,616673,827121,1.0,817689
357690,558528,994016,1000014,742793,757680,616673,827121,1.25,862850
357690,558528,994016,1000014,742793,757680,647808,832117,0.25,756049
357690,558528,994016,1000014,742793,757680,647808,832117,0.5,717421
357690,558528,994016,1000014,742793,757680,647808,832117,0.75,735982
357690,558528,994016,1000014,742793,757680,647808,832117,1.0,840979
357690,558528,994016,1000014,742793,757680,647808,832117,1.25,831838
357690,558528,994016,1000014,742793,757680,689927,829971,0.25,753990
357690,558528,994016,1000014,742793,757680,689927,829971,0.5,721379
357690,558528,994016,1000014,742793,757680,689927,829971,0.75,764687
357690,558528,994016,1000014,742793,757680,689927,829971,1.0,868161
357690,558528,994016,1000014,742793,757680,689927,829971,1.25,845781
357690,558528,994016,1000014,742793,757680,750764,869756,0.25,743258
357690,558528,994016,1000014,742793,757680,750764,869756,0.5,777449
357690,558528,994016,1000014,742793,757680,750764,869756,0.75,772797
357690,558528,994016,1000014,742793,757680,750764,869756,1.0,884468
357690,558528,994016,1000014,742793,757680,750764,869756,1.25,873843
357690,558528,994016,1000014,742793,757680,760742,866552,0.25,769409
