mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour
516529,796328,1452021,1509484,1039264,1066507,0,792731,0.25,813107
516529,796328,1452021,1509484,1039264,1066507,0,792731,0.5,870495
516529,796328,1452021,1509484,1039264,1066507,0,792731,0.75,959666
516529,796328,1452021,1509484,1039264,1066507,0,792731,1.0,1106111
516529,796328,1452021,1509484,1039264,1066507,0,792731,1.25,1165702
516529,796328,1452021,1509484,1039264,1066507,31283,799594,0.25,816311
516529,796328,1452021,1509484,1039264,1066507,31283,799594,0.5,870985
516529,796328,1452021,1509484,1039264,1066507,31283,799594,0.75,973034
516529,796328,1452021,1509484,1039264,1066507,31283,799594,1.0,1129648
516529,796328,1452021,1509484,1039264,1066507,31283,799594,1.25,1182338
516529,796328,1452021,1509484,1039264,1066507,50391,811913,0.25,823920
516529,796328,1452021,1509484,1039264,1066507,50391,811913,0.5,862382
516529,796328,1452021,1509484,1039264,1066507,50391,811913,0.75,951547
516529,796328,1452021,1509484,1039264,1066507,50391,811913,1.0,1117542
516529,796328,1452021,1509484,1039264,1066507,50391,811913,1.25,1201705
516529,796328,1452021,1509484,1039264,1066507,79680,821545,0.25,828073
516529,796328,1452021,1509484,1039264,1066507,79680,821545,0.5,880308
516529,796328,1452021,1509484,1039264,1066507,79680,821545,0.75,949597
516529,796328,1452021,1509484,1039264,1066507,79680,821545,1.0,1129418
516529,796328,1452021,1509484,1039264,1066507,79680,821545,1.25,1159052
516529,796328,1452021,1509484,1039264,1066507,145813,832270,0.25,843497
516529,796328,1452021,1509484,1039264,1066507,145813,832270,0.5,871837
516529,796328,1452021,1509484,1039264,1066507,145813,832270,0.75,993431
516529,796328,1452021,1509484,1039264,1066507,145813,832270,1.0,1123439
516529,796328,1452021,1509484,1039264,1066507,145813,832270,1.25,1175456
516529,796328,1452021,1509484,1039264,1066507,245196,892756,0.25,870520
516529,796328,1452021,1509484,1039264,1066507,245196,892756,0.5,907437
516529,796328,1452021,1509484,1039264,1066507,245196,892756,0.75,1006013
516529,796328,1452021,1509484,1039264,1066507,245196,892756,1.0,1129789
516529,796328,1452021,1509484,1039264,1066507,245196,892756,1.25,1196296
516529,796328,1452021,1509484,1039264,1066507,291942,890651,0.25,891583
516529,796328,1452021,1509484,1039264,1066507,291942,890651,0.5,925332
516529,796328,1452021,1509484,1039264,1066507,291942,890651,0.75,970306
516529,796328,1452021,1509484,1039264,1066507,291942,890651,1.0,1108578
516529,796328,1452021,1509484,1039264,1066507,291942,890651,1.25,1199361
516529,796328,1452021,1509484,1039264,1066507,373277,935365,0.25,922254
516529,796328,1452021,1509484,1039264,1066507,373277,935365,0.5,931838
516529,796328,1452021,1509484,1039264,1066507,373277,935365,0.75,996626
516529,796328,1452021,1509484,1039264,1066507,373277,935365,1.0,1110359
516529,796328,1452021,1509484,1039264,1066507,373277,935365,1.25,1200698
516529,796328,1452021,1509484,1039264,1066507,505422,987116,0.25,946548
516529,796328,1452021,1509484,1039264,1066507,505422,987116,0.5,958724
