mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour
897885,1493786,3043250,2708533,1988533,1951207,0,1490311,0.25,1528736
897885,1493786,3043250,2708533,1988533,1951207,0,1490311,0.5,1582995
897885,1493786,3043250,2708533,1988533,1951207,0,1490311,0.75,1769429
897885,1493786,3043250,2708533,1988533,1951207,0,1490311,1.0,2006014
897885,1493786,3043250,2708533,1988533,1951207,0,1490311,1.25,2114083
897885,1493786,3043250,2708533,1988533,1951207,51104,1513391,0.25,1532194
897885,1493786,3043250,2708533,1988533,1951207,51104,1513391,0.5,1579040
897885,1493786,3043250,2708533,1988533,1951207,51104,1513391,0.75,1782195
897885,1493786,3043250,2708533,1988533,1951207,51104,1513391,1.0,2037388
897885,1493786,3043250,2708533,1988533,1951207,51104,1513391,1.25,2102150
897885,1493786,3043250,2708533,1988533,1951207,90133,1524475,0.25,1544197
897885,1493786,3043250,2708533,1988533,1951207,90133,1524475,0.5,1642806
897885,1493786,3043250,2708533,1988533,1951207,90133,1524475,0.75,1738267
897885,1493786,3043250,2708533,1988533,1951207,90133,1524475,1.0,2009247
897885,1493786,3043250,2708533,1988533,1951207,90133,1524475,1.25,2124511
897885,1493786,3043250,2708533,1988533,1951207,140565,1552403,0.25,1548774
897885,1493786,3043250,2708533,1988533,1951207,140565,1552403,0.5,1596074
897885,1493786,3043250,2708533,1988533,1951207,140565,1552403,0.75,1739424
897885,1493786,3043250,2708533,1988533,1951207,140565,1552403,1.0,2052685
897885,1493786,3043250,2708533,1988533,1951207,140565,1552403,1.25,2122118
897885,1493786,3043250,2708533,1988533,1951207,206315,1591218,0.25,1570015
897885,1493786,3043250,2708533,1988533,1951207,206315,1591218,0.5,1621595
897885,1493786,3043250,2708533,1988533,1951207,206315,1591218,0.75,1822681
897885,1493786,3043250,2708533,1988533,1951207,206315,1591218,1.0,2005315
897885,1493786,3043250,2708533,1988533,1951207,206315,1591218,1.25,2108245
897885,1493786,3043250,2708533,1988533,1951207,277618,1627415,0.25,1616462
897885,1493786,3043250,2708533,1988533,1951207,277618,1627415,0.5,1649092
897885,1493786,3043250,2708533,1988533,1951207,277618,1627415,0.75,1795592
897885,1493786,3043250,2708533,1988533,1951207,277618,1627415,1.0,2060396
897885,1493786,3043250,2708533,1988533,1951207,277618,1627415,1.25,2097094
897885,1493786,3043250,2708533,1988533,1951207,384806,1663048,0.25,1643209
897885,1493786,3043250,2708533,1988533,1951207,384806,1663048,0.5,1661840
897885,1493786,3043250,2708533,1988533,1951207,384806,1663048,0.75,1814379
897885,1493786,3043250,2708533,1988533,1951207,384806,1663048,1.0,2020634
897885,1493786,3043250,2708533,1988533,1951207,384806,1663048,1.25,2192329
897885,1493786,3043250,2708533,1988533,1951207,481920,1729575,0.25,1680754
897885,1493786,3043250,2708533,1988533,1951207,481920,1729575,0.5,1704434
897885,1493786,3043250,2708533,1988533,1951207,481920,1729575,0.75,1863678
897885,1493786,3043250,2708533,1988533,1951207,481920,1729575,1.0,2073327
897885,1493786,3043250,2708533,1988533,1951207,481920,1729575,1.25,2158848
897885,1493786,3043250,2708533,1988533,1951207,645363,1710668,0.25,1671577
897885,1493786,3043250,2708533,1988533,1951207,645363,1710668,0.5,1739620
897885,1493786,3043250,2708533,1988533,1951207,645363,1710668,0.75,1799797
897885,1493786,3043250,2708533,1988533,1951207,645363,1710668,1.0,2073176
897885,1493786,3043250,2708533,1988533,1951207,645363,1710668,1.25,2193030
897885,1493786,3043250,2708533,1988533,1951207,780281,1789085,0.25,1682165
897885,1493786,3043250,2708533,1988533,1951207,780281,1789085,0.5,1754355
897885,1493786,3043250,2708533,1988533,1951207,780281,1789085,0.75,1852002
897885,1493786,3043250,2708533,1988533,1951207,780281,1789085,1.0,2032748
897885,1493786,3043250,2708533,1988533,1951207,780281,1789085,1.25,2179141
897885,1493786,3043250,2708533,1988533,1951207,885105,1861766,0.25,1730475
897885,1493786,3043250,2708533,1988533,1951207,885105,1861766,0.5,1715948
897885,1493786,3043250,2708533,1988533,1951207,885105,1861766,0.75,1927904
897885,1493786,3043250,2708533,1988533,1951207,885105,1861766,1.0,2097555
897885,1493786,3043250,2708533,1988533,1951207,885105,1861766,1.25,2220620
897885,1493786,3043250,2708533,1988533,1951207,1022040,1932300,0.25,1754209
897885,1493786,3043250,2708533,1988533,1951207,1022040,1932300,0.5,1770209
897885,1493786,3043250,2708533,1988533,1951207,1022040,1932300,0.75,1859503
897885,1493786,3043250,2708533,1988533,1951207,1022040,1932300,1.0,2045743
897885,1493786,3043250,2708533,1988533,1951207,1022040,1932300,1.25,2176815
897885,1493786,3043250,2708533,1988533,1951207,1102587,1825889,0.25,1724883
897885,1493786,3043250,2708533,1988533,1951207,1102587,1825889,0.5,1788517
897885,1493786,3043250,2708533,1988533,1951207,1102587,1825889,0.75,1908487
897885,1493786,3043250,2708533,1988533,1951207,1102587,1825889,1.0,2099354
897885,1493786,3043250,2708533,1988533,1951207,1102587,1825889,1.25,2194281
897885,1493786,3043250,2708533,1988533,1951207,1148600,1906925,0.25,1785561
897885,1493786,3043250,2708533,1988533,1951207,1148600,1906925,0.5,1751490
897885,1493786,3043250,2708533,1988533,1951207,1148600,1906925,0.75,1956686
897885,1493786,3043250,2708533,1988533,1951207,1148600,1906925,1.0,2032295
897885,1493786,3043250,2708533,1988533,1951207,1148600,1906925,1.25,2227577
897885,1493786,3043250,2708533,1988533,1951207,1250852,1975001,0.25,1794270
897885,1493786,3043250,2708533,1988533,1951207,1250852,1975001,0.5,1855183
