mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour
998037,1648920,2945960,2933449,2201240,2222818,0,1645628,0.25,1665399
998037,1648920,2945960,2933449,2201240,2222818,0,1645628,0.5,1763353
998037,1648920,2945960,2933449,2201240,2222818,0,1645628,0.75,1886215
998037,1648920,2945960,2933449,2201240,2222818,0,1645628,1.0,2080412
998037,1648920,2945960,2933449,2201240,2222818,0,1645628,1.25,2178449
998037,1648920,2945960,2933449,2201240,2222818,85906,1673416,0.25,1691769
998037,1648920,2945960,2933449,2201240,2222818,85906,1673416,0.5,1772867
998037,1648920,2945960,2933449,2201240,2222818,85906,1673416,0.75,1901160
998037,1648920,2945960,2933449,2201240,2222818,85906,1673416,1.0,2128664
998037,1648920,2945960,2933449,2201240,2222818,85906,1673416,1.25,2224478
998037,1648920,2945960,2933449,2201240,2222818,155664,1709826,0.25,1728951
998037,1648920,2945960,2933449,2201240,2222818,155664,1709826,0.5,1796386
998037,1648920,2945960,2933449,2201240,2222818,155664,1709826,0.75,1959995
998037,1648920,2945960,2933449,2201240,2222818,155664,1709826,1.0,2170745
998037,1648920,2945960,2933449,2201240,2222818,155664,1709826,1.25,2196548
998037,1648920,2945960,2933449,2201240,2222818,223794,1782093,0.25,1766601
998037,1648920,2945960,2933449,2201240,2222818,223794,1782093,0.5,1806764
998037,1648920,2945960,2933449,2201240,2222818,223794,1782093,0.75,1913502
998037,1648920,2945960,2933449,2201240,2222818,223794,1782093,1.0,2159706
998037,1648920,2945960,2933449,2201240,2222818,223794,1782093,1.25,2332591
998037,1648920,2945960,2933449,2201240,2222818,281283,1768315,0.25,1733116
998037,1648920,2945960,2933449,2201240,2222818,281283,1768315,0.5,1797191
998037,1648920,2945960,2933449,2201240,2222818,281283,1768315,0.75,1903671
998037,1648920,2945960,2933449,2201240,2222818,281283,1768315,1.0,2115941
998037,1648920,2945960,2933449,2201240,2222818,281283,1768315,1.25,2205571
998037,1648920,2945960,2933449,2201240,2222818,405995,1826351,0.25,1776460
998037,1648920,2945960,2933449,2201240,2222818,405995,1826351,0.5,1834791
998037,1648920,2945960,2933449,2201240,2222818,405995,1826351,0.75,1945028
998037,1648920,2945960,2933449,2201240,2222818,405995,1826351,1.0,2129618
998037,1648920,2945960,2933449,2201240,2222818,405995,1826351,1.25,2222741
998037,1648920,2945960,2933449,2201240,2222818,500131,1846435,0.25,1783362
998037,1648920,2945960,2933449,2201240,2222818,500131,1846435,0.5,1835799
998037,1648920,2945960,2933449,2201240,2222818,500131,1846435,0.75,1955285
998037,1648920,2945960,2933449,2201240,2222818,500131,1846435,1.0,2140830
998037,1648920,2945960,2933449,2201240,2222818,500131,1846435,1.25,2240565
998037,1648920,2945960,2933449,2201240,2222818,652399,1931460,0.25,1842423
998037,1648920,2945960,2933449,2201240,2222818,652399,1931460,0.5,1886808
998037,1648920,2945960,2933449,2201240,2222818,652399,1931460,0.75,2012221
998037,1648920,2945960,2933449,2201240,2222818,652399,1931460,1.0,2079619
998037,1648920,2945960,2933449,2201240,2222818,652399,1931460,1.25,2304795
998037,1648920,2945960,2933449,2201240,2222818,836442,1988311,0.25,1873444
998037,1648920,2945960,2933449,2201240,2222818,836442,1988311,0.5,1886652
998037,1648920,2945960,2933449,2201240,2222818,836442,1988311,0.75,1982878
998037,1648920,2945960,2933449,2201240,2222818,836442,1988311,1.0,2102803
998037,1648920,2945960,2933449,2201240,2222818,836442,1988311,1.25,2288699
998037,1648920,2945960,2933449,2201240,2222818,998585,2034027,0.25,1954589
998037,1648920,2945960,2933449,2201240,2222818,998585,2034027,0.5,1932386
998037,1648920,2945960,2933449,2201240,2222818,998585,2034027,0.75,1998201
998037,1648920,2945960,2933449,2201240,2222818,998585,2034027,1.0,2096501
998037,1648920,2945960,2933449,2201240,2222818,998585,2034027,1.25,2299511
998037,1648920,2945960,2933449,2201240,2222818,1236604,2090117,0.25,1881062
998037,1648920,2945960,2933449,2201240,2222818,1236604,2090117,0.5,1959789
998037,1648920,2945960,2933449,2201240,2222818,1236604,2090117,0.75,2080013
998037,1648920,2945960,2933449,2201240,2222818,1236604,2090117,1.0,2181669
998037,1648920,2945960,2933449,2201240,2222818,1236604,2090117,1.25,2312462
998037,1648920,2945960,2933449,2201240,2222818,1440957,2130127,0.25,1972368
998037,1648920,2945960,2933449,2201240,2222818,1440957,2130127,0.5,1968697
998037,1648920,2945960,2933449,2201240,2222818,1440957,2130127,0.75,2114223
998037,1648920,2945960,2933449,2201240,2222818,1440957,2130127,1.0,2144578
998037,1648920,2945960,2933449,2201240,2222818,1440957,2130127,1.25,2306827
998037,1648920,2945960,2933449,2201240,2222818,1490268,2156567,0.25,1957916
998037,1648920,2945960,2933449,2201240,2222818,1490268,2156567,0.5,1987930
998037,1648920,2945960,2933449,2201240,2222818,1490268,2156567,0.75,2081784
998037,1648920,2945960,2933449,2201240,2222818,1490268,2156567,1.0,2130638
998037,1648920,2945960,2933449,2201240,2222818,1490268,2156567,1.25,2332605
998037,1648920,2945960,2933449,2201240,2222818,1531880,2165410,0.25,1986357
998037,1648920,2945960,2933449,2201240,2222818,1531880,2165410,0.5,1985258
998037,1648920,2945960,2933449,2201240,2222818,1531880,2165410,0.75,2133587
998037,1648920,2945960,2933449,2201240,2222818,1531880,2165410,1.0,2141610
998037,1648920,2945960,2933449,2201240,2222818,1531880,2165410,1.25,2342601
998037,1648920,2945960,2933449,2201240,2222818,1609039,2234438,0.25,2036326
998037,1648920,2945960,2933449,2201240,2222818,1609039,2234438,0.5,2025020
998037,1648920,2945960,2933449,2201240,2222818,1609039,2234438,0.75,2075740
998037,1648920,2945960,2933449,2201240,2222818,1609039,2234438,1.0,2231456
998037,1648920,2945960,2933449,2201240,2222818,1609039,2234438,1.25,2309527
998037,1648920,2945960,2933449,2201240,2222818,1696314,2260077,0.25,2072842
998037,1648920,2945960,2933449,2201240,2222818,1696314,2260077,0.5,1979085
998037,1648920,2945960,2933449,2201240,2222818,1696314,2260077,0.75,2006024
998037,1648920,2945960,2933449,2201240,2222818,1696314,2260077,1.0,2292373
998037,1648920,2945960,2933449,2201240,2222818,1696314,2260077,1.25,2376027
998037,1648920,2945960,2933449,2201240,2222818,1809574,2466962,0.25,2135131
998037,1648920,2945960,2933449,2201240,2222818,1809574,2466962,0.5,2076779
998037,1648920,2945960,2933449,2201240,2222818,1809574,2466962,0.75,2070409
998037,1648920,2945960,2933449,2201240,2222818,1809574,2466962,1.0,2202325
998037,1648920,2945960,2933449,2201240,2222818,1809574,2466962,1.25,2407432
998037,1648920,2945960,2933449,2201240,2222818,1989129,2344602,0.25,2128203
998037,1648920,2945960,2933449,2201240,2222818,1989129,2344602,0.5,2074035
998037,1648920,2945960,2933449,2201240,2222818,1989129,2344602,0.75,2159900
998037,1648920,2945960,2933449,2201240,2222818,1989129,2344602,1.0,2188859
998037,1648920,2945960,2933449,2201240,2222818,1989129,2344602,1.25,2326425
998037,1648920,2945960,2933449,2201240,2222818,2163773,2533529,0.25,2183106
998037,1648920,2945960,2933449,2201240,2222818,2163773,2533529,0.5,2142337
998037,1648920,2945960,2933449,2201240,2222818,2163773,2533529,0.75,2157705
998037,1648920,2945960,2933449,2201240,2222818,2163773,2533529,1.0,2127849
998037,1648920,2945960,2933449,2201240,2222818,2163773,2533529,1.25,2358568
998037,1648920,2945960,2933449,2201240,2222818,2357394,2517099,0.25,2356521
998037,1648920,2945960,2933449,2201240,2222818,2357394,2517099,0.5,2141040
998037,1648920,2945960,2933449,2201240,2222818,2357394,2517099,0.75,2068529
998037,1648920,2945960,2933449,2201240,2222818,2357394,2517099,1.0,2314143
998037,1648920,2945960,2933449,2201240,2222818,2357394,2517099,1.25,2388862
998037,1648920,2945960,2933449,2201240,2222818,2539844,2618180,0.25,2235088
998037,1648920,2945960,2933449,2201240,2222818,2539844,2618180,0.5,2199789
998037,1648920,2945960,2933449,2201240,2222818,2539844,2618180,0.75,2192355
998037,1648920,2945960,2933449,2201240,2222818,2539844,2618180,1.0,2175288
998037,1648920,2945960,2933449,2201240,2222818,2539844,2618180,1.25,2415758
998037,1648920,2945960,2933449,2201240,2222818,2686382,3006501,0.25,2334061
998037,1648920,2945960,2933449,2201240,2222818,2686382,3006501,0.5,2292564
998037,1648920,2945960,2933449,2201240,2222818,2686382,3006501,0.75,2272893
998037,1648920,2945960,2933449,2201240,2222818,2686382,3006501,1.0,2558557
998037,1648920,2945960,2933449,2201240,2222818,2686382,3006501,1.25,2389840
998037,1648920,2945960,2933449,2201240,2222818,2775588,2844221,0.25,2422552
998037,1648920,2945960,2933449,2201240,2222818,2775588,2844221,0.5,2201507
998037,1648920,2945960,2933449,2201240,2222818,2775588,2844221,0.75,2353375
998037,1648920,2945960,2933449,2201240,2222818,2775588,2844221,1.0,2259688
998037,1648920,2945960,2933449,2201240,2222818,2775588,2844221,1.25,2420519
