mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour
875309,1384733,2457796,2594714,1853967,1834437,0,1378181,0.25,1408391
875309,1384733,2457796,2594714,1853967,1834437,0,1378181,0.5,1465030
875309,1384733,2457796,2594714,1853967,1834437,0,1378181,0.75,1572199
875309,1384733,2457796,2594714,1853967,1834437,0,1378181,1.0,1837524
875309,1384733,2457796,2594714,1853967,1834437,0,1378181,1.25,1938007
875309,1384733,2457796,2594714,1853967,1834437,34188,1389842,0.25,1417131
875309,1384733,2457796,2594714,1853967,1834437,34188,1389842,0.5,1481343
875309,1384733,2457796,2594714,1853967,1834437,34188,1389842,0.75,1630460
875309,1384733,2457796,2594714,1853967,1834437,34188,1389842,1.0,1835269
875309,1384733,2457796,2594714,1853967,1834437,34188,1389842,1.25,1969407
875309,1384733,2457796,2594714,1853967,1834437,84258,1407415,0.25,1420600
875309,1384733,2457796,2594714,1853967,1834437,84258,1407415,0.5,1487100
875309,1384733,2457796,2594714,1853967,1834437,84258,1407415,0.75,1638639
875309,1384733,2457796,2594714,1853967,1834437,84258,1407415,1.0,1868619
875309,1384733,2457796,2594714,1853967,1834437,84258,1407415,1.25,1991652
875309,1384733,2457796,2594714,1853967,1834437,160002,1437089,0.25,1448237
875309,1384733,2457796,2594714,1853967,1834437,160002,1437089,0.5,1521856
875309,1384733,2457796,2594714,1853967,1834437,160002,1437089,0.75,1654278
875309,1384733,2457796,2594714,1853967,1834437,160002,1437089,1.0,1896384
875309,1384733,2457796,2594714,1853967,1834437,160002,1437089,1.25,1949019
875309,1384733,2457796,2594714,1853967,1834437,256455,1481782,0.25,1487893
875309,1384733,2457796,2594714,1853967,1834437,256455,1481782,0.5,1506631
875309,1384733,2457796,2594714,1853967,1834437,256455,1481782,0.75,1692065
875309,1384733,2457796,2594714,1853967,1834437,256455,1481782,1.0,1900032
875309,1384733,2457796,2594714,1853967,1834437,256455,1481782,1.25,1924944
875309,1384733,2457796,2594714,1853967,1834437,390222,1561290,0.25,1527760
875309,1384733,2457796,2594714,1853967,1834437,390222,1561290,0.5,1600166
875309,1384733,2457796,2594714,1853967,1834437,390222,1561290,0.75,1700640
875309,1384733,2457796,2594714,1853967,1834437,390222,1561290,1.0,1914706
875309,1384733,2457796,2594714,1853967,1834437,390222,1561290,1.25,2034657
875309,1384733,2457796,2594714,1853967,1834437,485665,1564340,0.25,1531823
875309,1384733,2457796,2594714,1853967,1834437,485665,1564340,0.5,1606659
875309,1384733,2457796,2594714,1853967,1834437,485665,1564340,0.75,1763870
875309,1384733,2457796,2594714,1853967,1834437,485665,1564340,1.0,1977175
875309,1384733,2457796,2594714,1853967,1834437,485665,1564340,1.25,2003865
875309,1384733,2457796,2594714,1853967,1834437,590911,1601067,0.25,1558818
875309,1384733,2457796,2594714,1853967,1834437,590911,1601067,0.5,1656401
875309,1384733,2457796,2594714,1853967,1834437,590911,1601067,0.75,1744230
875309,1384733,2457796,2594714,1853967,1834437,590911,1601067,1.0,1891947
875309,1384733,2457796,2594714,1853967,1834437,590911,1601067,1.25,1985332
875309,1384733,2457796,2594714,1853967,1834437,616752,1656919,0.25,1585768
875309,1384733,2457796,2594714,1853967,1834437,616752,1656919,0.5,1667409
875309,1384733,2457796,2594714,1853967,1834437,616752,1656919,0.75,1712868
