mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour
1140963,1868247,3302343,3363505,2412369,2470451,0,1862121,0.25,1895722
1140963,1868247,3302343,3363505,2412369,2470451,0,1862121,0.5,1952291
1140963,1868247,3302343,3363505,2412369,2470451,0,1862121,0.75,2142929
1140963,1868247,3302343,3363505,2412369,2470451,0,1862121,1.0,2469155
1140963,1868247,3302343,3363505,2412369,2470451,0,1862121,1.25,2592215
1140963,1868247,3302343,3363505,2412369,2470451,38203,1880533,0.25,1900606
1140963,1868247,3302343,3363505,2412369,2470451,38203,1880533,0.5,2006797
1140963,1868247,3302343,3363505,2412369,2470451,38203,1880533,0.75,2159410
1140963,1868247,3302343,3363505,2412369,2470451,38203,1880533,1.0,2423571
1140963,1868247,3302343,3363505,2412369,2470451,38203,1880533,1.25,2585504
1140963,1868247,3302343,3363505,2412369,2470451,95837,1923375,0.25,1926267
1140963,1868247,3302343,3363505,2412369,2470451,95837,1923375,0.5,2009805
1140963,1868247,3302343,3363505,2412369,2470451,95837,1923375,0.75,2101440
1140963,1868247,3302343,3363505,2412369,2470451,95837,1923375,1.0,2418655
1140963,1868247,3302343,3363505,2412369,2470451,95837,1923375,1.25,2585845
1140963,1868247,3302343,3363505,2412369,2470451,140046,1922032,0.25,1918067
1140963,1868247,3302343,3363505,2412369,2470451,140046,1922032,0.5,2009723
1140963,1868247,3302343,3363505,2412369,2470451,140046,1922032,0.75,2141922
1140963,1868247,3302343,3363505,2412369,2470451,140046,1922032,1.0,2248567
1140963,1868247,3302343,3363505,2412369,2470451,140046,1922032,1.25,2596268
1140963,1868247,3302343,3363505,2412369,2470451,223528,1956215,0.25,1943317
1140963,1868247,3302343,3363505,2412369,2470451,223528,1956215,0.5,1998227
1140963,1868247,3302343,3363505,2412369,2470451,223528,1956215,0.75,2137082
1140963,1868247,3302343,3363505,2412369,2470451,223528,1956215,1.0,2467523
1140963,1868247,3302343,3363505,2412369,2470451,223528,1956215,1.25,2597843
1140963,1868247,3302343,3363505,2412369,2470451,538770,2089908,0.25,1984014
1140963,1868247,3302343,3363505,2412369,2470451,538770,2089908,0.5,2051695
1140963,1868247,3302343,3363505,2412369,2470451,538770,2089908,0.75,2225054
1140963,1868247,3302343,3363505,2412369,2470451,538770,2089908,1.0,2461210
1140963,1868247,3302343,3363505,2412369,2470451,538770,2089908,1.25,2635896
1140963,1868247,3302343,3363505,2412369,2470451,788149,2183387,0.25,2023397
1140963,1868247,3302343,3363505,2412369,2470451,788149,2183387,0.5,2089954
1140963,1868247,3302343,3363505,2412369,2470451,788149,2183387,0.75,2243301
1140963,1868247,3302343,3363505,2412369,2470451,788149,2183387,1.0,2452719
1140963,1868247,3302343,3363505,2412369,2470451,788149,2183387,1.25,2664867
1140963,1868247,3302343,3363505,2412369,2470451,904237,2336040,0.25,2028151
1140963,1868247,3302343,3363505,2412369,2470451,904237,2336040,0.5,2075498
1140963,1868247,3302343,3363505,2412369,2470451,904237,2336040,0.75,2198803
1140963,1868247,3302343,3363505,2412369,2470451,904237,2336040,1.0,2499038
1140963,1868247,3302343,3363505,2412369,2470451,904237,2336040,1.25,2632889
1140963,1868247,3302343,3363505,2412369,2470451,1007759,2371859,0.25,2120026
1140963,1868247,3302343,3363505,2412369,2470451,1007759,2371859,0.5,2174458
1140963,1868247,3302343,3363505,2412369,2470451,1007759,2371859,0.75,2285478
1140963,1868247,3302343,3363505,2412369,2470451,1007759,2371859,1.0,2566084
1140963,1868247,3302343,3363505,2412369,2470451,1007759,2371859,1.25,2644756
1140963,1868247,3302343,3363505,2412369,2470451,1107243,2425195,0.25,2129817
1140963,1868247,3302343,3363505,2412369,2470451,1107243,2425195,0.5,2140876
1140963,1868247,3302343,3363505,2412369,2470451,1107243,2425195,0.75,2320859
1140963,1868247,3302343,3363505,2412369,2470451,1107243,2425195,1.0,2465380
1140963,1868247,3302343,3363505,2412369,2470451,1107243,2425195,1.25,2659071
1140963,1868247,3302343,3363505,2412369,2470451,1227300,2475358,0.25,2167735
1140963,1868247,3302343,3363505,2412369,2470451,1227300,2475358,0.5,2224026
1140963,1868247,3302343,3363505,2412369,2470451,1227300,2475358,0.75,2249974
1140963,1868247,3302343,3363505,2412369,2470451,1227300,2475358,1.0,2527679
1140963,1868247,3302343,3363505,2412369,2470451,1227300,2475358,1.25,2650087
1140963,1868247,3302343,3363505,2412369,2470451,1300056,2563159,0.25,2141576
1140963,1868247,3302343,3363505,2412369,2470451,1300056,2563159,0.5,2167262
1140963,1868247,3302343,3363505,2412369,2470451,1300056,2563159,0.75,2316337
1140963,1868247,3302343,3363505,2412369,2470451,1300056,2563159,1.0,2527104
1140963,1868247,3302343,3363505,2412369,2470451,1300056,2563159,1.25,2693765
1140963,1868247,3302343,3363505,2412369,2470451,1394915,2557460,0.25,2280670
1140963,1868247,3302343,3363505,2412369,2470451,1394915,2557460,0.5,2224098
1140963,1868247,3302343,3363505,2412369,2470451,1394915,2557460,0.75,2319574
1140963,1868247,3302343,3363505,2412369,2470451,1394915,2557460,1.0,2548793
1140963,1868247,3302343,3363505,2412369,2470451,1394915,2557460,1.25,2690333
1140963,1868247,3302343,3363505,2412369,2470451,1479492,2613031,0.25,2249178
1140963,1868247,3302343,3363505,2412369,2470451,1479492,2613031,0.5,2241890
1140963,1868247,3302343,3363505,2412369,2470451,1479492,2613031,0.75,2295438
1140963,1868247,3302343,3363505,2412369,2470451,1479492,2613031,1.0,2634027
1140963,1868247,3302343,3363505,2412369,2470451,1479492,2613031,1.25,2704003
1140963,1868247,3302343,3363505,2412369,2470451,1559310,2618682,0.25,2224672
1140963,1868247,3302343,3363505,2412369,2470451,1559310,2618682,0.5,2314586
1140963,1868247,3302343,3363505,2412369,2470451,1559310,2618682,0.75,2298152
1140963,1868247,3302343,3363505,2412369,2470451,1559310,2618682,1.0,2590184
1140963,1868247,3302343,3363505,2412369,2470451,1559310,2618682,1.25,2729104
1140963,1868247,3302343,3363505,2412369,2470451,1677818,2737055,0.25,2339231
1140963,1868247,3302343,3363505,2412369,2470451,1677818,2737055,0.5,2234025
1140963,1868247,3302343,3363505,2412369,2470451,1677818,2737055,0.75,2302548
1140963,1868247,3302343,3363505,2412369,2470451,1677818,2737055,1.0,2661755
1140963,1868247,3302343,3363505,2412369,2470451,1677818,2737055,1.25,2709848
1140963,1868247,3302343,3363505,2412369,2470451,1790968,2871162,0.25,2334866
1140963,1868247,3302343,3363505,2412369,2470451,1790968,2871162,0.5,2306240
1140963,1868247,3302343,3363505,2412369,2470451,1790968,2871162,0.75,2379783
1140963,1868247,3302343,3363505,2412369,2470451,1790968,2871162,1.0,2641243
1140963,1868247,3302343,3363505,2412369,2470451,1790968,2871162,1.25,2699958
1140963,1868247,3302343,3363505,2412369,2470451,1909952,2865413,0.25,2368859
