mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour
1046215,1721956,2885440,2973628,2245266,2253078,0,1711643,0.25,1751766
1046215,1721956,2885440,2973628,2245266,2253078,0,1711643,0.5,1823982
1046215,1721956,2885440,2973628,2245266,2253078,0,1711643,0.75,1954918
1046215,1721956,2885440,2973628,2245266,2253078,0,1711643,1.0,2219289
1046215,1721956,2885440,2973628,2245266,2253078,0,1711643,1.25,2294723
1046215,1721956,2885440,2973628,2245266,2253078,31302,1725524,0.25,1753374
1046215,1721956,2885440,2973628,2245266,2253078,31302,1725524,0.5,1864846
1046215,1721956,2885440,2973628,2245266,2253078,31302,1725524,0.75,1972401
1046215,1721956,2885440,2973628,2245266,2253078,31302,1725524,1.0,2225237
1046215,1721956,2885440,2973628,2245266,2253078,31302,1725524,1.25,2348549
1046215,1721956,2885440,2973628,2245266,2253078,46650,1735756,0.25,1770836
1046215,1721956,2885440,2973628,2245266,2253078,46650,1735756,0.5,1841746
1046215,1721956,2885440,2973628,2245266,2253078,46650,1735756,0.75,1975387
1046215,1721956,2885440,2973628,2245266,2253078,46650,1735756,1.0,2226250
1046215,1721956,2885440,2973628,2245266,2253078,46650,1735756,1.25,2365558
1046215,1721956,2885440,2973628,2245266,2253078,86458,1748725,0.25,1782145
1046215,1721956,2885440,2973628,2245266,2253078,86458,1748725,0.5,1878874
1046215,1721956,2885440,2973628,2245266,2253078,86458,1748725,0.75,1980786
1046215,1721956,2885440,2973628,2245266,2253078,86458,1748725,1.0,2147088
1046215,1721956,2885440,2973628,2245266,2253078,86458,1748725,1.25,2370606
1046215,1721956,2885440,2973628,2245266,2253078,112718,1756951,0.25,1789473
1046215,1721956,2885440,2973628,2245266,2253078,112718,1756951,0.5,1859672
1046215,1721956,2885440,2973628,2245266,2253078,112718,1756951,0.75,1989796
1046215,1721956,2885440,2973628,2245266,2253078,112718,1756951,1.0,2284562
1046215,1721956,2885440,2973628,2245266,2253078,112718,1756951,1.25,2348194
1046215,1721956,2885440,2973628,2245266,2253078,140755,1774544,0.25,1796058
1046215,1721956,2885440,2973628,2245266,2253078,140755,1774544,0.5,1877731
1046215,1721956,2885440,2973628,2245266,2253078,140755,1774544,0.75,1991296
1046215,1721956,2885440,2973628,2245266,2253078,140755,1774544,1.0,2276011
1046215,1721956,2885440,2973628,2245266,2253078,140755,1774544,1.25,2352780
1046215,1721956,2885440,2973628,2245266,2253078,171821,1785925,0.25,1807459
1046215,1721956,2885440,2973628,2245266,2253078,171821,1785925,0.5,1874451
1046215,1721956,2885440,2973628,2245266,2253078,171821,1785925,0.75,2024597
1046215,1721956,2885440,2973628,2245266,2253078,171821,1785925,1.0,2286035
1046215,1721956,2885440,2973628,2245266,2253078,171821,1785925,1.25,2367631
1046215,1721956,2885440,2973628,2245266,2253078,206139,1793838,0.25,1803788
1046215,1721956,2885440,2973628,2245266,2253078,206139,1793838,0.5,1905946
1046215,1721956,2885440,2973628,2245266,2253078,206139,1793838,0.75,1991788
1046215,1721956,2885440,2973628,2245266,2253078,206139,1793838,1.0,2256422
1046215,1721956,2885440,2973628,2245266,2253078,206139,1793838,1.25,2349156
1046215,1721956,2885440,2973628,2245266,2253078,247362,1834002,0.25,1827367
1046215,1721956,2885440,2973628,2245266,2253078,247362,1834002,0.5,1914025
1046215,1721956,2885440,2973628,2245266,2253078,247362,1834002,0.75,2067375
1046215,1721956,2885440,2973628,2245266,2253078,247362,1834002,1.0,2298806
1046215,1721956,2885440,2973628,2245266,2253078,247362,1834002,1.25,2397819
1046215,1721956,2885440,2973628,2245266,2253078,300742,1824586,0.25,1851156
1046215,1721956,2885440,2973628,2245266,2253078,300742,1824586,0.5,1937855
1046215,1721956,2885440,2973628,2245266,2253078,300742,1824586,0.75,2077340
1046215,1721956,2885440,2973628,2245266,2253078,300742,1824586,1.0,2261541
1046215,1721956,2885440,2973628,2245266,2253078,300742,1824586,1.25,2358721
1046215,1721956,2885440,2973628,2245266,2253078,363396,1848447,0.25,1838283
1046215,1721956,2885440,2973628,2245266,2253078,363396,1848447,0.5,1937359
1046215,1721956,2885440,2973628,2245266,2253078,363396,1848447,0.75,2106273
1046215,1721956,2885440,2973628,2245266,2253078,363396,1848447,1.0,2292113
1046215,1721956,2885440,2973628,2245266,2253078,363396,1848447,1.25,2361888
1046215,1721956,2885440,2973628,2245266,2253078,415596,1862869,0.25,1864936
1046215,1721956,2885440,2973628,2245266,2253078,415596,1862869,0.5,1945762
1046215,1721956,2885440,2973628,2245266,2253078,415596,1862869,0.75,2033056
1046215,1721956,2885440,2973628,2245266,2253078,415596,1862869,1.0,2280391
1046215,1721956,2885440,2973628,2245266,2253078,415596,1862869,1.25,2364093
1046215,1721956,2885440,2973628,2245266,2253078,449401,1895964,0.25,1883187
1046215,1721956,2885440,2973628,2245266,2253078,449401,1895964,0.5,1956955
1046215,1721956,2885440,2973628,2245266,2253078,449401,1895964,0.75,2121797
1046215,1721956,2885440,2973628,2245266,2253078,449401,1895964,1.0,2184578
1046215,1721956,2885440,2973628,2245266,2253078,449401,1895964,1.25,2410260
1046215,1721956,2885440,2973628,2245266,2253078,494904,1902318,0.25,1869587
1046215,1721956,2885440,2973628,2245266,2253078,494904,1902318,0.5,1903869
1046215,1721956,2885440,2973628,2245266,2253078,494904,1902318,0.75,2094111
1046215,1721956,2885440,2973628,2245266,2253078,494904,1902318,1.0,2195600
1046215,1721956,2885440,2973628,2245266,2253078,494904,1902318,1.25,2374731
1046215,1721956,2885440,2973628,2245266,2253078,524078,1885270,0.25,1858771
1046215,1721956,2885440,2973628,2245266,2253078,524078,1885270,0.5,1953589
1046215,1721956,2885440,2973628,2245266,2253078,524078,1885270,0.75,2011245
1046215,1721956,2885440,2973628,2245266,2253078,524078,1885270,1.0,2305480
1046215,1721956,2885440,2973628,2245266,2253078,524078,1885270,1.25,2420751
1046215,1721956,2885440,2973628,2245266,2253078,552173,1925762,0.25,1900759
1046215,1721956,2885440,2973628,2245266,2253078,552173,1925762,0.5,1962897
1046215,1721956,2885440,2973628,2245266,2253078,552173,1925762,0.75,2070523
1046215,1721956,2885440,2973628,2245266,2253078,552173,1925762,1.0,2299091
1046215,1721956,2885440,2973628,2245266,2253078,552173,1925762,1.25,2384615
1046215,1721956,2885440,2973628,2245266,2253078,587792,1942883,0.25,1915417
1046215,1721956,2885440,2973628,2245266,2253078,587792,1942883,0.5,1948157
1046215,1721956,2885440,2973628,2245266,2253078,587792,1942883,0.75,2076137
1046215,1721956,2885440,2973628,2245266,2253078,587792,1942883,1.0,2327615
1046215,1721956,2885440,2973628,2245266,2253078,587792,1942883,1.25,2402730
1046215,1721956,2885440,2973628,2245266,2253078,626674,1933008,0.25,1914892
1046215,1721956,2885440,2973628,2245266,2253078,626674,1933008,0.5,1976685
1046215,1721956,2885440,2973628,2245266,2253078,626674,1933008,0.75,2081132
1046215,1721956,2885440,2973628,2245266,2253078,626674,1933008,1.0,2289200
1046215,1721956,2885440,2973628,2245266,2253078,626674,1933008,1.25,2445955
1046215,1721956,2885440,2973628,2245266,2253078,669085,1944740,0.25,1932106
1046215,1721956,2885440,2973628,2245266,2253078,669085,1944740,0.5,1984776
1046215,1721956,2885440,2973628,2245266,2253078,669085,1944740,0.75,2088875
1046215,1721956,2885440,2973628,2245266,2253078,669085,1944740,1.0,2289612
1046215,1721956,2885440,2973628,2245266,2253078,669085,1944740,1.25,2378175
1046215,1721956,2885440,2973628,2245266,2253078,707974,1964398,0.25,1937166
1046215,1721956,2885440,2973628,2245266,2253078,707974,1964398,0.5,1997179
1046215,1721956,2885440,2973628,2245266,2253078,707974,1964398,0.75,2086814
1046215,1721956,2885440,2973628,2245266,2253078,707974,1964398,1.0,2312577
1046215,1721956,2885440,2973628,2245266,2253078,707974,1964398,1.25,2383663
1046215,1721956,2885440,2973628,2245266,2253078,740567,2011022,0.25,1954406
1046215,1721956,2885440,2973628,2245266,2253078,740567,2011022,0.5,1978748
1046215,1721956,2885440,2973628,2245266,2253078,740567,2011022,0.75,2072621
1046215,1721956,2885440,2973628,2245266,2253078,740567,2011022,1.0,2330722
1046215,1721956,2885440,2973628,2245266,2253078,740567,2011022,1.25,2451694
1046215,1721956,2885440,2973628,2245266,2253078,776489,1994929,0.25,1942186
1046215,1721956,2885440,2973628,2245266,2253078,776489,1994929,0.5,2023702
1046215,1721956,2885440,2973628,2245266,2253078,776489,1994929,0.75,2094330
1046215,1721956,2885440,2973628,2245266,2253078,776489,1994929,1.0,2304119
1046215,1721956,2885440,2973628,2245266,2253078,776489,1994929,1.25,2418428
1046215,1721956,2885440,2973628,2245266,2253078,814238,2028597,0.25,1950711
1046215,1721956,2885440,2973628,2245266,2253078,814238,2028597,0.5,1995739
1046215,1721956,2885440,2973628,2245266,2253078,814238,2028597,0.75,2059526
