mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour
1129358,1863932,3395751,3534462,2459051,2512404,0,1860944,0.25,1898042
1129358,1863932,3395751,3534462,2459051,2512404,0,1860944,0.5,2001357
1129358,1863932,3395751,3534462,2459051,2512404,0,1860944,0.75,2124715
1129358,1863932,3395751,3534462,2459051,2512404,0,1860944,1.0,2458022
1129358,1863932,3395751,3534462,2459051,2512404,0,1860944,1.25,2736997
1129358,1863932,3395751,3534462,2459051,2512404,46970,1880283,0.25,1906483
1129358,1863932,3395751,3534462,2459051,2512404,46970,1880283,0.5,1998818
1129358,1863932,3395751,3534462,2459051,2512404,46970,1880283,0.75,2244469
1129358,1863932,3395751,3534462,2459051,2512404,46970,1880283,1.0,2485032
1129358,1863932,3395751,3534462,2459051,2512404,46970,1880283,1.25,2738013
1129358,1863932,3395751,3534462,2459051,2512404,335375,2015480,0.25,1968899
1129358,1863932,3395751,3534462,2459051,2512404,335375,2015480,0.5,2089167
1129358,1863932,3395751,3534462,2459051,2512404,335375,2015480,0.75,2277834
1129358,1863932,3395751,3534462,2459051,2512404,335375,2015480,1.0,2505998
1129358,1863932,3395751,3534462,2459051,2512404,335375,2015480,1.25,2922791
1129358,1863932,3395751,3534462,2459051,2512404,668042,2195491,0.25,2018082
1129358,1863932,3395751,3534462,2459051,2512404,668042,2195491,0.5,2105493
1129358,1863932,3395751,3534462,2459051,2512404,668042,2195491,0.75,2288254
1129358,1863932,3395751,3534462,2459051,2512404,668042,2195491,1.0,2611382
1129358,1863932,3395751,3534462,2459051,2512404,668042,2195491,1.25,2726049
1129358,1863932,3395751,3534462,2459051,2512404,884143,2343208,0.25,2061247
1129358,1863932,3395751,3534462,2459051,2512404,884143,2343208,0.5,2161725
1129358,1863932,3395751,3534462,2459051,2512404,884143,2343208,0.75,2345648
1129358,1863932,3395751,3534462,2459051,2512404,884143,2343208,1.0,2678736
1129358,1863932,3395751,3534462,2459051,2512404,884143,2343208,1.25,2782107
1129358,1863932,3395751,3534462,2459051,2512404,961276,2333306,0.25,2121658
1129358,1863932,3395751,3534462,2459051,2512404,961276,2333306,0.5,2190295
1129358,1863932,3395751,3534462,2459051,2512404,961276,2333306,0.75,2317214
1129358,1863932,3395751,3534462,2459051,2512404,961276,2333306,1.0,2694322
1129358,1863932,3395751,3534462,2459051,2512404,961276,2333306,1.25,2805973
1129358,1863932,3395751,3534462,2459051,2512404,1122257,2425721,0.25,2165167
1129358,1863932,3395751,3534462,2459051,2512404,1122257,2425721,0.5,2222276
1129358,1863932,3395751,3534462,2459051,2512404,1122257,2425721,0.75,2315511
1129358,1863932,3395751,3534462,2459051,2512404,1122257,2425721,1.0,2589951
1129358,1863932,3395751,3534462,2459051,2512404,1122257,2425721,1.25,2780754
1129358,1863932,3395751,3534462,2459051,2512404,1368395,2494858,0.25,2261331
1129358,1863932,3395751,3534462,2459051,2512404,1368395,2494858,0.5,2227278
1129358,1863932,3395751,3534462,2459051,2512404,1368395,2494858,0.75,2364410
1129358,1863932,3395751,3534462,2459051,2512404,1368395,2494858,1.0,2636714
1129358,1863932,3395751,3534462,2459051,2512404,1368395,2494858,1.25,2790065
1129358,1863932,3395751,3534462,2459051,2512404,1658893,2565421,0.25,2275610
1129358,1863932,3395751,3534462,2459051,2512404,1658893,2565421,0.5,2341950
1129358,1863932,3395751,3534462,2459051,2512404,1658893,2565421,0.75,2307423
1129358,1863932,3395751,3534462,2459051,2512404,1658893,2565421,1.0,2568855
1129358,1863932,3395751,3534462,2459051,2512404,1658893,2565421,1.25,2718320
1129358,1863932,3395751,3534462,2459051,2512404,1847970,2872239,0.25,2430546
1129358,1863932,3395751,3534462,2459051,2512404,1847970,2872239,0.5,2374017
1129358,1863932,3395751,3534462,2459051,2512404,1847970,2872239,0.75,2513888
1129358,1863932,3395751,3534462,2459051,2512404,1847970,2872239,1.0,2637626
1129358,1863932,3395751,3534462,2459051,2512404,1847970,2872239,1.25,2873720
1129358,1863932,3395751,3534462,2459051,2512404,1996439,2869135,0.25,2432184
1129358,1863932,3395751,3534462,2459051,2512404,1996439,2869135,0.5,2394309
1129358,1863932,3395751,3534462,2459051,2512404,1996439,2869135,0.75,2487127
1129358,1863932,3395751,3534462,2459051,2512404,1996439,2869135,1.0,2737308
1129358,1863932,3395751,3534462,2459051,2512404,1996439,2869135,1.25,2816226
1129358,1863932,3395751,3534462,2459051,2512404,2228883,3109477,0.25,2484638
1129358,1863932,3395751,3534462,2459051,2512404,2228883,3109477,0.5,2450819
1129358,1863932,3395751,3534462,2459051,2512404,2228883,3109477,0.75,2576993
1129358,1863932,3395751,3534462,2459051,2512404,2228883,3109477,1.0,2604601
1129358,1863932,3395751,3534462,2459051,2512404,2228883,3109477,1.25,2811966
1129358,1863932,3395751,3534462,2459051,2512404,2450128,2883532,0.25,2448398
1129358,1863932,3395751,3534462,2459051,2512404,2450128,2883532,0.5,2424988
1129358,1863932,3395751,3534462,2459051,2512404,2450128,2883532,0.75,2432342
1129358,1863932,3395751,3534462,2459051,2512404,2450128,2883532,1.0,2787853
1129358,1863932,3395751,3534462,2459051,2512404,2450128,2883532,1.25,2796072
1129358,1863932,3395751,3534462,2459051,2512404,2614778,2925773,0.25,2455432
1129358,1863932,3395751,3534462,2459051,2512404,2614778,2925773,0.5,2437448
1129358,1863932,3395751,3534462,2459051,2512404,2614778,2925773,0.75,2544811
1129358,1863932,3395751,3534462,2459051,2512404,2614778,2925773,1.0,2743305
1129358,1863932,3395751,3534462,2459051,2512404,2614778,2925773,1.25,2891670
1129358,1863932,3395751,3534462,2459051,2512404,2696712,3118841,0.25,2613992
1129358,1863932,3395751,3534462,2459051,2512404,2696712,3118841,0.5,2431603
1129358,1863932,3395751,3534462,2459051,2512404,2696712,3118841,0.75,2556648
1129358,1863932,3395751,3534462,2459051,2512404,2696712,3118841,1.0,2711082
1129358,1863932,3395751,3534462,2459051,2512404,2696712,3118841,1.25,2814902
1129358,1863932,3395751,3534462,2459051,2512404,2878438,3109317,0.25,2527442
1129358,1863932,3395751,3534462,2459051,2512404,2878438,3109317,0.5,2464619
1129358,1863932,3395751,3534462,2459051,2512404,2878438,3109317,0.75,2611658
1129358,1863932,3395751,3534462,2459051,2512404,2878438,3109317,1.0,2569296
1129358,1863932,3395751,3534462,2459051,2512404,2878438,3109317,1.25,2832579
1129358,1863932,3395751,3534462,2459051,2512404,3038095,3087498,0.25,2593737
1129358,1863932,3395751,3534462,2459051,2512404,3038095,3087498,0.5,2442245
1129358,1863932,3395751,3534462,2459051,2512404,3038095,3087498,0.75,2546362
1129358,1863932,3395751,3534462,2459051,2512404,3038095,3087498,1.0,2787008
1129358,1863932,3395751,3534462,2459051,2512404,3038095,3087498,1.25,2904978
1129358,1863932,3395751,3534462,2459051,2512404,3232839,3327943,0.25,2613486
1129358,1863932,3395751,3534462,2459051,2512404,3232839,3327943,0.5,2594013
1129358,1863932,3395751,3534462,2459051,2512404,3232839,3327943,0.75,2652465
1129358,1863932,3395751,3534462,2459051,2512404,3232839,3327943,1.0,2647271
1129358,1863932,3395751,3534462,2459051,2512404,3232839,3327943,1.25,2830961
1129358,1863932,3395751,3534462,2459051,2512404,3369407,3795357,0.25,2731560
1129358,1863932,3395751,3534462,2459051,2512404,3369407,3795357,0.5,2638150
1129358,1863932,3395751,3534462,2459051,2512404,3369407,3795357,0.75,2657718
1129358,1863932,3395751,3534462,2459051,2512404,3369407,3795357,1.0,2773797
1129358,1863932,3395751,3534462,2459051,2512404,3369407,3795357,1.25,2881217
1129358,1863932,3395751,3534462,2459051,2512404,3504768,3320455,0.25,2727129
1129358,1863932,3395751,3534462,2459051,2512404,3504768,3320455,0.5,2473242
1129358,1863932,3395751,3534462,2459051,2512404,3504768,3320455,0.75,2644035
1129358,1863932,3395751,3534462,2459051,2512404,3504768,3320455,1.0,2699284
1129358,1863932,3395751,3534462,2459051,2512404,3504768,3320455,1.25,2894748
1129358,1863932,3395751,3534462,2459051,2512404,3582094,3447309,0.25,2807756
1129358,1863932,3395751,3534462,2459051,2512404,3582094,3447309,0.5,2659107
1129358,1863932,3395751,3534462,2459051,2512404,3582094,3447309,0.75,2663311
1129358,1863932,3395751,3534462,2459051,2512404,3582094,3447309,1.0,2619940
1129358,1863932,3395751,3534462,2459051,2512404,3582094,3447309,1.25,2884163
