mst,tour,Blocking,hDFS,NN,DFS,eta,pTour,param,Robust_pTour,Robust_pTour_theoretic
1140963,1868247,3302343,3270719,2412369,2470451,7872601,5380045,0.25,3438909,3069099
1140963,1868247,3302343,3270719,2412369,2470451,7872601,5380045,0.5,2947562,3008042
1140963,1868247,3302343,3270719,2412369,2470451,7872601,5380045,0.75,2797599,3032429
1140963,1868247,3302343,3270719,2412369,2470451,7872601,5380045,1.0,2871748,3043408
1140963,1868247,3302343,3270719,2412369,2470451,7872601,5380045,1.25,2974967,3055554
1140963,1868247,3302343,3270719,2412369,2470451,3066427,3479096,0.25,2722876,2759203
1140963,1868247,3302343,3270719,2412369,2470451,3066427,3479096,0.5,2561581,2785048
1140963,1868247,3302343,3270719,2412369,2470451,3066427,3479096,0.75,2640800,2885375
1140963,1868247,3302343,3270719,2412369,2470451,3066427,3479096,1.0,2762305,2900184
1140963,1868247,3302343,3270719,2412369,2470451,3066427,3479096,1.25,2774888,2977289
1140963,1868247,3302343,3270719,2412369,2470451,20138746,11837884,0.25,6026685,3756735
1140963,1868247,3302343,3270719,2412369,2470451,20138746,11837884,0.5,3795948,3409539
1140963,1868247,3302343,3270719,2412369,2470451,20138746,11837884,0.75,3075025,3246554
1140963,1868247,3302343,3270719,2412369,2470451,20138746,11837884,1.0,3287480,3240534
1140963,1868247,3302343,3270719,2412369,2470451,20138746,11837884,1.25,3143541,3163220
1140963,1868247,3302343,3270719,2412369,2470451,14651321,9417480,0.25,4945757,3523686
1140963,1868247,3302343,3270719,2412369,2470451,14651321,9417480,0.5,3832614,3395196
1140963,1868247,3302343,3270719,2412369,2470451,14651321,9417480,0.75,3094265,3197264
1140963,1868247,3302343,3270719,2412369,2470451,14651321,9417480,1.0,3087734,3104253
1140963,1868247,3302343,3270719,2412369,2470451,14651321,9417480,1.25,3134645,3156466
1140963,1868247,3302343,3270719,2412369,2470451,27634976,15590164,0.25,7256909,4048511
1140963,1868247,3302343,3270719,2412369,2470451,27634976,15590164,0.5,4647113,3526472
1140963,1868247,3302343,3270719,2412369,2470451,27634976,15590164,0.75,3443672,3326017
1140963,1868247,3302343,3270719,2412369,2470451,27634976,15590164,1.0,3164697,3265606
1140963,1868247,3302343,3270719,2412369,2470451,27634976,15590164,1.25,3137649,3177496
1140963,1868247,3302343,3270719,2412369,2470451,28664010,17171493,0.25,7172330,4207616
1140963,1868247,3302343,3270719,2412369,2470451,28664010,17171493,0.5,4481487,3544105
1140963,1868247,3302343,3270719,2412369,2470451,28664010,17171493,0.75,3620766,3369719
1140963,1868247,3302343,3270719,2412369,2470451,28664010,17171493,1.0,3545454,3300696
1140963,1868247,3302343,3270719,2412369,2470451,28664010,17171493,1.25,3146104,3177790
1140963,1868247,3302343,3270719,2412369,2470451,538770,2089908,0.25,1984014,2416269
1140963,1868247,3302343,3270719,2412369,2470451,538770,2089908,0.5,2051695,2531296
1140963,1868247,3302343,3270719,2412369,2470451,538770,2089908,0.75,2225054,2669965
1140963,1868247,3302343,3270719,2412369,2470451,538770,2089908,1.0,2461210,2775753
1140963,1868247,3302343,3270719,2412369,2470451,538770,2089908,1.25,2635896,2793206
1140963,1868247,3302343,3270719,2412369,2470451,19343275,12100705,0.25,5476104,3753723
1140963,1868247,3302343,3270719,2412369,2470451,19343275,12100705,0.5,3881709,3390418
1140963,1868247,3302343,3270719,2412369,2470451,19343275,12100705,0.75,3226108,3233288
1140963,1868247,3302343,3270719,2412369,2470451,19343275,12100705,1.0,3239329,3189223
1140963,1868247,3302343,3270719,2412369,2470451,19343275,12100705,1.25,3121250,3182852
1140963,1868247,3302343,3270719,2412369,2470451,30081856,18346403,0.25,7077424,4257203
1140963,1868247,3302343,3270719,2412369,2470451,30081856,18346403,0.5,4572102,3602002
1140963,1868247,3302343,3270719,2412369,2470451,30081856,18346403,0.75,3543030,3350451
1140963,1868247,3302343,3270719,2412369,2470451,30081856,18346403,1.0,3292329,3256691
1140963,1868247,3302343,3270719,2412369,2470451,30081856,18346403,1.25,3137601,3227823
1140963,1868247,3302343,3270719,2412369,2470451,21224128,14577368,0.25,5745352,3939027
1140963,1868247,3302343,3270719,2412369,2470451,21224128,14577368,0.5,4344388,3451228
1140963,1868247,3302343,3270719,2412369,2470451,21224128,14577368,0.75,3142656,3272883
1140963,1868247,3302343,3270719,2412369,2470451,21224128,14577368,1.0,3457315,3205885
1140963,1868247,3302343,3270719,2412369,2470451,21224128,14577368,1.25,3042590,3146321
1140963,1868247,3302343,3270719,2412369,2470451,18093908,13676300,0.25,5516410,3846045
1140963,1868247,3302343,3270719,2412369,2470451,18093908,13676300,0.5,3943353,3364938
1140963,1868247,3302343,3270719,2412369,2470451,18093908,13676300,0.75,3302124,3308112
1140963,1868247,3302343,3270719,2412369,2470451,18093908,13676300,1.0,3219922,3217374
1140963,1868247,3302343,3270719,2412369,2470451,18093908,13676300,1.25,3122188,3201818
1140963,1868247,3302343,3270719,2412369,2470451,13499675,10461086,0.25,4746416,3530637
1140963,1868247,3302343,3270719,2412369,2470451,13499675,10461086,0.5,3531036,3136373
1140963,1868247,3302343,3270719,2412369,2470451,13499675,10461086,0.75,3043122,3122581
1140963,1868247,3302343,3270719,2412369,2470451,13499675,10461086,1.0,3017497,3073033
1140963,1868247,3302343,3270719,2412369,2470451,13499675,10461086,1.25,3003919,3059472
1140963,1868247,3302343,3270719,2412369,2470451,13250726,8882805,0.25,5080765,3429064
1140963,1868247,3302343,3270719,2412369,2470451,13250726,8882805,0.5,3340024,3173903
1140963,1868247,3302343,3270719,2412369,2470451,13250726,8882805,0.75,2968859,3076635
1140963,1868247,3302343,3270719,2412369,2470451,13250726,8882805,1.0,2991633,3108229
1140963,1868247,3302343,3270719,2412369,2470451,13250726,8882805,1.25,2989788,3090828
1140963,1868247,3302343,3270719,2412369,2470451,3492583,3748747,0.25,2873670,2821973
1140963,1868247,3302343,3270719,2412369,2470451,3492583,3748747,0.5,2753830,2815058
1140963,1868247,3302343,3270719,2412369,2470451,3492583,3748747,0.75,2620088,2900108
1140963,1868247,3302343,3270719,2412369,2470451,3492583,3748747,1.0,2773584,2931754
1140963,1868247,3302343,3270719,2412369,2470451,3492583,3748747,1.25,2812604,2985378
1140963,1868247,3302343,3270719,2412369,2470451,20827535,12213088,0.25,6238990,3829505
1140963,1868247,3302343,3270719,2412369,2470451,20827535,12213088,0.5,4258743,3397401
1140963,1868247,3302343,3270719,2412369,2470451,20827535,12213088,0.75,3553767,3264415
1140963,1868247,3302343,3270719,2412369,2470451,20827535,12213088,1.0,2902835,3186929
1140963,1868247,3302343,3270719,2412369,2470451,20827535,12213088,1.25,3049812,3199473
1140963,1868247,3302343,3270719,2412369,2470451,27851438,15029697,0.25,6806671,4075875
1140963,1868247,3302343,3270719,2412369,2470451,27851438,15029697,0.5,3997886,3465430
1140963,1868247,3302343,3270719,2412369,2470451,27851438,15029697,0.75,3365152,3300636
1140963,1868247,3302343,3270719,2412369,2470451,27851438,15029697,1.0,3314868,3275943
1140963,1868247,3302343,3270719,2412369,2470451,27851438,15029697,1.25,3161697,3170476
1140963,1868247,3302343,3270719,2412369,2470451,20322656,11859807,0.25,5722328,3723556
1140963,1868247,3302343,3270719,2412369,2470451,20322656,11859807,0.5,4157550,3349679
1140963,1868247,3302343,3270719,2412369,2470451,20322656,11859807,0.75,3129901,3233050
1140963,1868247,3302343,3270719,2412369,2470451,20322656,11859807,1.0,3357413,3177575
1140963,1868247,3302343,3270719,2412369,2470451,20322656,11859807,1.25,3091654,3120466
