mst,tour,Blocking,hDFS,NN,DFS,param,pTour (eta/opt = 1),Robust_pTour (1.0),Robust_hDFS (1.0),Robust_Blocking (1.0),Robust_hDFS_rounded (1.0),Robust_pTour (20.0),Robust_hDFS (20.0),Robust_hDFS_rounded (20.0),Robust_Blocking (20.0)
8,14,11,11,11,11,2,16,11,11,11,11,11,11,11,11
20,28,30,29,29,29,3,47,29,30,30,29,29,29,29,29
44,56,79,64,69,69,4,143,79,60,62,64,69,69,69,69
92,112,143,128,160,160,5,274,212,120,174,128,160,143,143,160
188,224,271,256,361,361,6,591,470,240,347,256,361,286,286,361
380,448,527,512,802,802,7,1054,740,480,707,512,704,557,572,802
764,896,1039,1024,1770,1770,8,2104,1580,960,1427,1024,1519,1114,1144,1770
1532,1792,2063,2048,3875,3875,9,4872,2828,1920,2867,2048,3458,2229,2288,3875
3068,3584,4111,4096,8427,8427,10,8994,4811,3840,5747,4096,7441,4451,4576,8427
6140,7168,8207,8192,18212,18212,11,18594,9640,7680,11507,8192,15921,8873,9152,18212
12284,14336,16399,16384,39148,39148,12,41860,18055,15360,23027,16384,33686,17746,18304,39148
