mst,tour,Blocking,hDFS,NN,DFS,param,Robust_hDFS,Robust_hDFS_rounded,Robust_Blocking
2396,3315,4409,4575,3422,3422,0.0,6057,4505,4409
2396,3315,4409,4575,3422,3422,0.5,5976,4551,4597
2396,3315,4409,4575,3422,3422,1.0,5827,4806,4419
2396,3315,4409,4575,3422,3422,2.0,4567,4599,4489
2396,3315,4409,4575,3422,3422,3.0,4158,4138,4079
2396,3315,4409,4575,3422,3422,4.0,4167,4006,3978
2396,3315,4409,4575,3422,3422,10.0,3704,3653,3576
2396,3315,4409,4575,3422,3422,20.0,3577,3656,3552
2396,3315,4409,4575,3422,3422,40.0,3441,3406,3441
47239,64362,84508,73793,70916,70916,0.0,86302,73264,84508
47239,64362,84508,73793,70916,70916,0.5,89988,82222,92250
47239,64362,84508,73793,70916,70916,1.0,73522,86143,86461
47239,64362,84508,73793,70916,70916,2.0,84213,82117,78895
47239,64362,84508,73793,70916,70916,3.0,84683,82562,84683
47239,64362,84508,73793,70916,70916,4.0,82881,81413,82881
47239,64362,84508,73793,70916,70916,10.0,75351,77415,75351
47239,64362,84508,73793,70916,70916,20.0,73618,70916,73618
47239,64362,84508,73793,70916,70916,40.0,70916,70916,70916
591,854,955,868,952,952,0.0,955,868,955
591,854,955,868,952,952,0.5,977,966,977
591,854,955,868,952,952,1.0,950,995,950
591,854,955,868,952,952,2.0,926,1047,926
591,854,955,868,952,952,3.0,921,931,921
591,854,955,868,952,952,4.0,1027,906,1027
591,854,955,868,952,952,10.0,1018,919,1018
591,854,955,868,952,952,20.0,952,952,952
591,854,955,868,952,952,40.0,952,952,952
11857,17910,20928,21433,18358,18358,0.0,24655,21860,20928
11857,17910,20928,21433,18358,18358,0.5,24508,21970,21715
11857,17910,20928,21433,18358,18358,1.0,21595,20070,19827
11857,17910,20928,21433,18358,18358,2.0,20198,20983,22144
11857,17910,20928,21433,18358,18358,3.0,18918,19812,18951
11857,17910,20928,21433,18358,18358,4.0,18804,18832,19616
11857,17910,20928,21433,18358,18358,10.0,19642,19552,19072
11857,17910,20928,21433,18358,18358,20.0,19572,19062,19572
11857,17910,20928,21433,18358,18358,40.0,19245,18358,18625
92297,125916,176694,178936,131386,131386,0.0,180659,174710,176694
92297,125916,176694,178936,131386,131386,0.5,184572,184112,183557
92297,125916,176694,178936,131386,131386,1.0,188233,182491,173295
92297,125916,176694,178936,131386,131386,2.0,174943,174196,167186
92297,125916,176694,178936,131386,131386,3.0,170903,158268,160391
92297,125916,176694,178936,131386,131386,4.0,163577,155483,153824
92297,125916,176694,178936,131386,131386,10.0,147563,147382,146572
92297,125916,176694,178936,131386,131386,20.0,139948,139602,139526
92297,125916,176694,178936,131386,131386,40.0,131752,133058,132076
58935,81058,101058,109821,93912,93912,0.0,155230,120719,101058
58935,81058,101058,109821,93912,93912,0.5,132146,113198,106152
58935,81058,101058,109821,93912,93912,1.0,105861,99862,108282
58935,81058,101058,109821,93912,93912,2.0,117659,115950,110552
58935,81058,101058,109821,93912,93912,3.0,109348,107755,111013
58935,81058,101058,109821,93912,93912,4.0,104983,101495,106220
58935,81058,101058,109821,93912,93912,10.0,96585,93149,96585
58935,81058,101058,109821,93912,93912,20.0,95688,96387,93297
58935,81058,101058,109821,93912,93912,40.0,92967,92692,92967
18453,24754,26165,26000,26380,26380,0.0,39623,26007,26165
18453,24754,26165,26000,26380,26380,0.5,40784,26621,26736
18453,24754,26165,26000,26380,26380,1.0,32496,26474,27981
18453,24754,26165,26000,26380,26380,2.0,28364,26920,28203
18453,24754,26165,26000,26380,26380,3.0,27396,26019,26428
18453,24754,26165,26000,26380,26380,4.0,26552,25378,25561
18453,24754,26165,26000,26380,26380,10.0,26382,28012,26465
18453,24754,26165,26000,26380,26380,20.0,26578,27586,26361
18453,24754,26165,26000,26380,26380,40.0,26456,26456,26380
255251,345499,490171,483108,366962,366962,0.0,720221,491534,490171
255251,345499,490171,483108,366962,366962,0.5,644156,488320,512902
255251,345499,490171,483108,366962,366962,1.0,512941,484461,462176
255251,345499,490171,483108,366962,366962,2.0,449260,459569,461699
255251,345499,490171,483108,366962,366962,3.0,440175,421756,426114
255251,345499,490171,483108,366962,366962,4.0,425222,431726,424790
255251,345499,490171,483108,366962,366962,10.0,380576,385425,378912
255251,345499,490171,483108,366962,366962,20.0,370493,374053,385893
255251,345499,490171,483108,366962,366962,40.0,365163,369436,367693
32623,46486,64739,64711,49336,49336,0.0,87358,63855,64739
32623,46486,64739,64711,49336,49336,0.5,76891,59221,70338
32623,46486,64739,64711,49336,49336,1.0,66987,63415,65412
32623,46486,64739,64711,49336,49336,2.0,58291,60184,60649
32623,46486,64739,64711,49336,49336,3.0,51526,56540,54487
32623,46486,64739,64711,49336,49336,4.0,52996,50426,55499
32623,46486,64739,64711,49336,49336,10.0,49509,53518,49509
32623,46486,64739,64711,49336,49336,20.0,48767,49274,48767
32623,46486,64739,64711,49336,49336,40.0,49645,49252,49645
68654,96195,127379,117019,94700,94700,0.0,117062,123768,127379
68654,96195,127379,117019,94700,94700,0.5,120843,124260,137846
68654,96195,127379,117019,94700,94700,1.0,111051,121682,117407
68654,96195,127379,117019,94700,94700,2.0,103176,95406,107083
68654,96195,127379,117019,94700,94700,3.0,101896,101096,103846
68654,96195,127379,117019,94700,94700,4.0,102416,98087,98504
68654,96195,127379,117019,94700,94700,10.0,97949,98164,97150
68654,96195,127379,117019,94700,94700,20.0,96420,96994,96020
68654,96195,127379,117019,94700,94700,40.0,95911,94711,95711
38283,51214,70545,70054,53259,53259,0.0,103584,69213,70545
38283,51214,70545,70054,53259,53259,0.5,86594,71486,71466
38283,51214,70545,70054,53259,53259,1.0,71961,67638,74944
38283,51214,70545,70054,53259,53259,2.0,67200,66673,67551
38283,51214,70545,70054,53259,53259,3.0,65112,63008,63022
38283,51214,70545,70054,53259,53259,4.0,63535,62286,63024
38283,51214,70545,70054,53259,53259,10.0,55331,56365,55379
38283,51214,70545,70054,53259,53259,20.0,54895,54643,55269
38283,51214,70545,70054,53259,53259,40.0,52101,54207,53343
2345,3664,5316,4884,4048,4048,0.0,5316,4884,5316
2345,3664,5316,4884,4048,4048,0.5,4194,4049,4194
2345,3664,5316,4884,4048,4048,1.0,4194,4193,4194
2345,3664,5316,4884,4048,4048,2.0,4194,4049,4194
2345,3664,5316,4884,4048,4048,3.0,4194,4048,4194
2345,3664,5316,4884,4048,4048,4.0,4194,4194,4194
2345,3664,5316,4884,4048,4048,10.0,4048,4048,4048
2345,3664,5316,4884,4048,4048,20.0,4048,4048,4048
2345,3664,5316,4884,4048,4048,40.0,4048,4048,4048
1011,1485,1767,1868,1448,1448,0.0,1962,1828,1767
1011,1485,1767,1868,1448,1448,0.5,2049,1839,1895
1011,1485,1767,1868,1448,1448,1.0,1875,1834,1875
1011,1485,1767,1868,1448,1448,2.0,1686,1479,1686
1011,1485,1767,1868,1448,1448,3.0,1448,1448,1448
1011,1485,1767,1868,1448,1448,4.0,1448,1448,1448
1011,1485,1767,1868,1448,1448,10.0,1448,1448,1448
1011,1485,1767,1868,1448,1448,20.0,1448,1448,1448
1011,1485,1767,1868,1448,1448,40.0,1448,1448,1448
1319,1860,2341,2271,2005,2005,0.0,2696,2342,2341
1319,1860,2341,2271,2005,2005,0.5,2391,2458,2494
1319,1860,2341,2271,2005,2005,1.0,2248,2298,2144
1319,1860,2341,2271,2005,2005,2.0,2165,2173,2272
1319,1860,2341,2271,2005,2005,3.0,2015,2147,2015
1319,1860,2341,2271,2005,2005,4.0,2013,2044,2015
1319,1860,2341,2271,2005,2005,10.0,2005,2077,2005
1319,1860,2341,2271,2005,2005,20.0,2005,2005,2005
1319,1860,2341,2271,2005,2005,40.0,2005,2005,2005
5958,7596,9372,9297,8409,8409,0.0,13786,9614,9372
5958,7596,9372,9297,8409,8409,0.5,12202,9667,9963
5958,7596,9372,9297,8409,8409,1.0,10333,10107,10827
5958,7596,9372,9297,8409,8409,2.0,9126,9717,9779
5958,7596,9372,9297,8409,8409,3.0,9338,8281,9343
5958,7596,9372,9297,8409,8409,4.0,8336,9337,8864
5958,7596,9372,9297,8409,8409,10.0,8442,8494,8442
5958,7596,9372,9297,8409,8409,20.0,8357,8416,8504
5958,7596,9372,9297,8409,8409,40.0,8409,8473,8409
59240,80742,84228,97115,85780,85780,0.0,84228,91011,84228
59240,80742,84228,97115,85780,85780,0.5,87892,93026,89300
59240,80742,84228,97115,85780,85780,1.0,86723,99040,87870
59240,80742,84228,97115,85780,85780,2.0,97944,97774,91258
59240,80742,84228,97115,85780,85780,3.0,92623,94674,88828
59240,80742,84228,97115,85780,85780,4.0,93483,92788,89939
59240,80742,84228,97115,85780,85780,10.0,89197,95266,86128
59240,80742,84228,97115,85780,85780,20.0,86387,87097,86128
59240,80742,84228,97115,85780,85780,40.0,87032,86744,86128
13829,18752,25573,23290,19368,19368,0.0,36747,22604,25573
13829,18752,25573,23290,19368,19368,0.5,32686,24896,27204
13829,18752,25573,23290,19368,19368,1.0,29817,25609,27144
13829,18752,25573,23290,19368,19368,2.0,24121,25259,24535
13829,18752,25573,23290,19368,19368,3.0,24126,22605,23817
13829,18752,25573,23290,19368,19368,4.0,22237,22178,22275
13829,18752,25573,23290,19368,19368,10.0,20304,19821,20644
13829,18752,25573,23290,19368,19368,20.0,20571,19881,20468
13829,18752,25573,23290,19368,19368,40.0,19583,19323,19508
4660,7548,9546,8876,10586,10586,0.0,9546,9046,9546
4660,7548,9546,8876,10586,10586,0.5,10568,9834,10568
4660,7548,9546,8876,10586,10586,1.0,9970,10104,9970
4660,7548,9546,8876,10586,10586,2.0,9761,9761,9761
4660,7548,9546,8876,10586,10586,3.0,9761,9761,9761
4660,7548,9546,8876,10586,10586,4.0,10586,10586,10586
4660,7548,9546,8876,10586,10586,10.0,10586,10586,10586
4660,7548,9546,8876,10586,10586,20.0,10586,10586,10586
4660,7548,9546,8876,10586,10586,40.0,10586,10586,10586
9905,13766,19036,16181,13181,13181,0.0,18688,16181,19036
9905,13766,19036,16181,13181,13181,0.5,16964,15590,18284
9905,13766,19036,16181,13181,13181,1.0,16894,15942,16894
9905,13766,19036,16181,13181,13181,2.0,16626,15342,16626
9905,13766,19036,16181,13181,13181,3.0,16533,14523,16533
9905,13766,19036,16181,13181,13181,4.0,16373,13816,16373
9905,13766,19036,16181,13181,13181,10.0,13181,13566,13181
9905,13766,19036,16181,13181,13181,20.0,13181,13181,13181
9905,13766,19036,16181,13181,13181,40.0,13181,13181,13181
741,1090,1173,1035,1112,1112,0.0,1399,1035,1173
741,1090,1173,1035,1112,1112,0.5,1144,1073,1144
741,1090,1173,1035,1112,1112,1.0,1139,1074,1139
741,1090,1173,1035,1112,1112,2.0,1058,1081,1058
741,1090,1173,1035,1112,1112,3.0,1112,1123,1112
741,1090,1173,1035,1112,1112,4.0,1058,1112,1058
741,1090,1173,1035,1112,1112,10.0,1058,1112,1058
741,1090,1173,1035,1112,1112,20.0,1112,1112,1112
741,1090,1173,1035,1112,1112,40.0,1112,1112,1112
2281,2998,3432,3423,2835,2835,0.0,4211,3319,3432
2281,2998,3432,3423,2835,2835,0.5,4004,3229,3437
2281,2998,3432,3423,2835,2835,1.0,3600,3470,3456
2281,2998,3432,3423,2835,2835,2.0,3476,3377,3466
2281,2998,3432,3423,2835,2835,3.0,3281,3101,3242
2281,2998,3432,3423,2835,2835,4.0,3085,3266,3156
2281,2998,3432,3423,2835,2835,10.0,3060,3071,2932
2281,2998,3432,3423,2835,2835,20.0,2822,2822,2835
2281,2998,3432,3423,2835,2835,40.0,2835,2835,2835
172673,239901,354083,377900,253127,253127,0.0,510809,348716,354083
172673,239901,354083,377900,253127,253127,0.5,435014,380065,338448
172673,239901,354083,377900,253127,253127,1.0,405364,353417,324384
172673,239901,354083,377900,253127,253127,2.0,308143,311765,331541
172673,239901,354083,377900,253127,253127,3.0,301901,306017,283264
172673,239901,354083,377900,253127,253127,4.0,288045,287480,302120
172673,239901,354083,377900,253127,253127,10.0,262095,268744,261170
